Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
23571503974,"10 Hủ Nước Yến Sào Chưng Sẵn 14 vị, Yến Nguyên Anh, 350mg yến tươi thật, 70ml, ghi chú chọn vị, Hủ ít ngọt","194,8k",100k+,Yến Nguyên Anh,10%,₫19.475,https://shopee.vn/product/296206043/23571503974,https://s.shopee.vn/LfQRLrbx2
16328343980,Granola Ngũ Cốc Ăn Sáng Các Loại Hạt Và Trái Cây Ngon Giòn từ Nông Sản Giọt Nắng,"129,0k",400k+,Nông Sản Giọt Nắng,10%,₫12.900,https://shopee.vn/product/307491301/16328343980,https://s.shopee.vn/Vyqdeqyc5
6128644819,Sữa Bột Anlene Hương Vani 1.2kg,"545,0k",60k+,Fonterra Official Store,6%,₫32.700,https://shopee.vn/product/135890280/6128644819,https://s.shopee.vn/12a2jssd0
1917481546,"500Gr Hạt điều rang muối Mẹ rô. Có hồ sơ công bố, Xuất hóa đơn công ty đầy đủ","138,0k",200k+,THỰC PHẨM SẠCH MẸ RÔ SỐ 1,10%,₫13.800,https://shopee.vn/product/104828612/1917481546,https://s.shopee.vn/BM0F2sFI3
26111918171,"Nụ hoa tam thất khô đóng 100g, 200g dùng để pha trà giúp ngủ ngon, thanh nhiệt, ổn định huyết áp, tim mạch","175,0k",100k+,Thảo Dược Vùng Cao Giá Rẻ,5%,₫8.750,https://shopee.vn/product/733044730/26111918171,https://s.shopee.vn/10v7EZp4bE
15803961985,Granola Siêu Hạt Dinh Dưỡng Vị Truyền Thống - Ngũ Cốc Dinh Dưỡng OLABEN NUTRITION,"199,0k",70k+,Olaben Nutrition,6%,₫11.940,https://shopee.vn/product/599719632/15803961985,https://s.shopee.vn/1BEXQsoRGH
43508358436,Combo 20 chân gà rút xương tê cay - ĂN CÙNG BÀ TUYẾT,"179,0k",60k+,Ăn Cùng Bà Tuyết,10%,₫17.900,https://shopee.vn/product/279658061/43508358436,https://s.shopee.vn/gIGpxqLHC
8817329559,Set nguyên liệu kẹo nougat thượng hạng ONICI,"163,0k",50k+,BẾP CỦA MẸ ONICI,11%,₫17.930,https://shopee.vn/product/278100765/8817329559,https://s.shopee.vn/qbh2GphwF
7553084923,"Thùng 12 lon trà lên men Star Kombucha mix vị (250ml/lon) - Trà lên men vi sinh hỗ trợ tiêu hóa, bảo vệ sức khỏe","359,0k",60k+,Star Kombucha Official Store,10%,₫35.900,https://shopee.vn/product/218106617/7553084923,https://s.shopee.vn/4LBZChcNpw
22755160844,"Mật Ong Rừng Già Tự Nhiên LengKengFarm - Không Phải Ong Nuôi, Không Pha Tạp Chất- Mật Ong Hoa Nhãn- Mật Ong Cà Phê","245,0k",30k+,Leng Keng Farm,10%,₫24.500,https://shopee.vn/product/79220647/22755160844,https://s.shopee.vn/4VUzP0bkUz
19616169570,Set làm bánh Panna Cotta 5 vị ONICI set nguyên liệu nấu thành phẩm 60-65 hủ 60ml,"119,0k",50k+,BẾP CỦA MẸ ONICI,11%,₫13.090,https://shopee.vn/product/278100765/19616169570,https://s.shopee.vn/40Yio5deVu
19390347271,[GIÁ SỈ] 5Kg Lương Khô Mix 15 Vị Hạt Dinh Dưỡng Và Trái Cây Dùng Để Ăn Vặt Ăn Sáng Thay Bữa,"129,1k",100k+,SHOP 92MALL,12%,₫15.498,https://shopee.vn/product/1023876692/19390347271,https://s.shopee.vn/4As90Od1Ax
28511912187,"Bột cần tây sấy lạnh nguyên chất 100%, giảm cân, tốt tim mạch, detox cơ thể, giải độc, ngủ ngon, nhuận tràng","160,0k",300k+,Thảo Dược Vùng Cao Giá Rẻ,5%,₫8.000,https://shopee.vn/product/733044730/28511912187,https://s.shopee.vn/50RFzvZqU8
25009818290,"Mật Ong Rừng Già Thuần Tự Nhiên LengKengFarm - Không Phải Ong Nuôi, Không Pha Tạp Chất- Mật Ong Hoa Nhãn- Mật Ong C","265,0k",50k+,Thuần Chay Tâm Tín Đức,8%,₫21.200,https://shopee.vn/product/1084913304/25009818290,https://s.shopee.vn/5AkgCEZD9B
24389484524,Sốt Chấm CayTeDai x1 CAY VỪA - Sốt Muối Chấm Lâm Vlog Cay Tê Dại x1,"83,3k",60k+,Lâm Vlog Food,7%,₫5.831,https://shopee.vn/product/1424739765/24389484524,https://s.shopee.vn/4foPbJb7A6
2305104357,"Hạt điều rang muối nguyên lụa. Có hồ sơ công bố, xuất hóa đơn công ty đầy đủ","140,0k",70k+,THỰC PHẨM SẠCH MẸ RÔ SỐ 2,8%,₫11.200,https://shopee.vn/product/140094218/2305104357,https://s.shopee.vn/4q7pncaTp9
15157877078,"Bột Sắn Dây Bắc Nguyên Chất LOẠI ĐẶC BIỆT - SẠCH 100% Không Pha Tạp Chất, SỈ SLL","195,0k",100k+,Leng Keng Farm,10%,₫19.500,https://shopee.vn/product/79220647/15157877078,https://s.shopee.vn/30gBcFhSXo
28500938755,"Mật ong rừng nguyên chất núi Pleiku Gia Lai, 100% tự nhiên nguyên chất (bao đổi trả 60 ngày nếu không ưng)","125,0k",10k+,Mật Ong Thiên Nhiên Bazan,10%,₫12.500,https://shopee.vn/product/1265218524/28500938755,https://s.shopee.vn/3AzboYgpCr
21749187997,"Dầu ăn Simply ,Dầu đậu Nành Simply / Neptune Light / Meizan Gold DATE DÀI","54,1k",80k+,BẾP MẸ BINBON,2%,₫1.081,https://shopee.vn/product/65851647/21749187997,https://s.shopee.vn/2g3LDdijDm
2270842433,Váy ngủ hai dây đầm ngủ thun mềm mịn có đệm ngực đuôi xếp li ( tặng kèm bịt mắt ) P3-D3,"68,3k",100k+,TIPI SHOP,2%,₫1.366,https://shopee.vn/product/39923306/2270842433,https://s.shopee.vn/2qMlPwi5sp
21247948961,Áo Cúp Ngực Không Dây Chống Tụt Chất Su Kèm Phụ Kiện Mặc Nhiều Kiểu - Eva 018,"86,0k",90k+,Chichi Houses,11%,₫9.460,https://shopee.vn/product/100489601/21247948961,https://s.shopee.vn/3fvsPTevC0
27337270691,Set Bộ Chân Váy ECOCHIC DREAM FIT SET Áo Crop Cổ Polo Halfzip Phối Chân Váy Chất Liệu Cao Cấp Mềm Mịn Chính Hãng B171,"655,0k",1k+,ECOCHIC Official Store,10%,₫65.500,https://shopee.vn/product/1021945839/27337270691,https://s.shopee.vn/3qFIbmeHr3
25322048683,Quần Short Denim Chauzi Lưng Cao Phối Túi Trước Cho Nữ Cao Cấp Phong Cách Thời Trang Hàn Quốc QS247,"76,0k",100k+,CHAUZI,9%,₫6.840,https://shopee.vn/product/705387915/25322048683,https://s.shopee.vn/3LJ20rgBry
29452494947,"Áo thun cổ tròn DAZZI BRAND chất thun gân tăm,Áo thun nữ form ôm Babytee,áo thun body thắt eo [A01]","39,0k",600k+,Dazzi Brand,12%,₫4.680,https://shopee.vn/product/852388548/29452494947,https://s.shopee.vn/3VcSDAfYX1
23184851474,Quần độn mông nữ độn hông Vyasmile gen bụng cạp cao lên dáng tự nhiên không lộ,"239,0k",10k+,Whitestrips,10%,₫23.900,https://shopee.vn/product/541614267/23184851474,https://s.shopee.vn/7AVkZuRb5k
25986166183,"Bộ Dài Mặc Nhà Nữ Áo Tay Dài Gắn Nút - Quần Dài Đũi Mềm Mại - NEONVN set đồ bộ tay dài quần dài mặc nhà mềm mại, ấm áp","215,0k",2k+,Neonvn,15%,₫32.250,https://shopee.vn/product/27922391/25986166183,https://s.shopee.vn/70CKNbSEQj
15679097704,Quần linen dài nữ ống suông rộng UNLEASHED cạp chun rút dây có túi sâu 2 bên Sandy Summer Pants 01,"290,0k",8k+,unleashedvn,7%,₫20.300,https://shopee.vn/product/63387678/15679097704,https://s.shopee.vn/6psuBISrli
24042118029,Áo Thun Local Brand ECOCHIC SLITHER TSHIRT Chính Hãng Form Rộng Phông Nam Nữ Unisex Oversize 100% Cotton B137,"183,0k",2k+,ECOCHIC Official Store,10%,₫18.300,https://shopee.vn/product/1021945839/24042118029,https://s.shopee.vn/6fZTyzTV6h
27613001277,Áo Giữ Nhiệt Ecochic Lông Cừu Len Merino Cashmere Bông Sợi Tân Cương Chất Liệu Cao Cấp Siêu Giữ Nhiệt Nhiều Màu B089,"250,0k",2k+,ECOCHIC Official Store,10%,₫25.000,https://shopee.vn/product/1021945839/27613001277,https://s.shopee.vn/7plRN8P3jw
22460977416,Set áo thun tăm viền khuy vàng kèm chân váy xếp ly có quần bảo hộ xixeoshop - S105,"99,0k",200k+,xí xẹo shop,8%,₫7.920,https://shopee.vn/product/7254273/22460977416,https://s.shopee.vn/7fS1ApPh4v
19533439544,"Bộ Pijama Cho Nữ cổ sen CỘC DÀI dễ thương nhiều màu, Đồ bộ mặc nhà pyjama quần dài nữ","97,5k",90k+,Hacomi,2%,₫1.950,https://shopee.vn/product/597880382/19533439544,https://s.shopee.vn/7V8ayWQKPu
28822878373,"Quần Kaki xếp ly nữ ống suông, quần ống rộng nữ chất kaki rũ mềm mịn chuẩn form tôn dáng phong cách cá tính hottrend 006","133,0k",10k+,QMT FASHION SẢN XUẤT SỈ SLL,12%,₫15.960,https://shopee.vn/product/803708633/28822878373,https://s.shopee.vn/7KpAmDQxkt
2418167101,[COMBO ƯU ĐÃI] 10 Quần Lót Nữ VERA Cotton thoáng khí kháng khuẩn - 7166 [Giao màu ngẫu nhiên],"364,0k",20k+,VERA Official Store,13%,₫47.320,https://shopee.vn/product/13346195/2418167101,https://s.shopee.vn/5q0MzSWfnc
29342054211,Set Bộ Váy ECOCHIC Áo Crop Halfzip Cổ Cao Logo Thêu Ngực Chân Váy Dài Chất Liệu Cao Cấp Mềm Mịn Chính Hãng B194,"980,0k",124,ECOCHIC Official Store,10%,₫98.000,https://shopee.vn/product/1021945839/29342054211,https://s.shopee.vn/5fgwn9XJ8b
23824884944,Áo Ngực Bà Bầu 2mama chất liệu su non cho con bú và sau sinh không gọng nâng đỡ chống chảy sệ cho mẹ bầu mới B102,"52,0k",100k+,2mama - Đầm Bầu Thiết Kế,4%,₫2.080,https://shopee.vn/product/354267233/23824884944,https://s.shopee.vn/5VNWaqXwTa
2590808857,Top Áo Thun Trơn Phom Vừa THOITRANG24H Nhiều Màu Basic Nam Nữ Ngắn Tay Vải Dày Mịn Đủ Size,"33,0k",100k+,Thời Trang 24 Giờ,8%,₫2.640,https://shopee.vn/product/121129454/2590808857,https://s.shopee.vn/5L46OXYZoZ
21573182831,Combo 2 áo ngực Chichi Bra mút xốp bàn tay nâng ngực Combo2_A01,"149,0k",10k+,Chichi Houses,11%,₫16.390,https://shopee.vn/product/100489601/21573182831,https://s.shopee.vn/6VG3mgU8Ro
8444773292,"Quần jean flared jean 15 màu lưng cao ống đứng loe nhẹ form hàn, màu xám vải nhập xịn hàn quốc","159,0k",80k+,BUMBER'S JEANS,5%,₫7.950,https://shopee.vn/product/236267659/8444773292,https://s.shopee.vn/6KwdaNUlmn
